title_id,title,release_date,poster_path,youtube_key,overview
317442,The Last: Naruto the Movie,2014-12-06,/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,https://www.youtube.com/watch?v=mksl3tYdyK4,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything."
317442,The Last: Naruto the Movie,2014-12-06,/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,https://www.youtube.com/watch?v=mksl3tYdyK4,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything."
15371,Lupin the Third: The Castle of Cagliostro,1979-12-15,/hSFdyWptoDHuXlFZGzIrfVell4Q.jpg,"After a successful robbery leaves famed thief Lupin III and his partner Jigen with nothing but a large amount of fake money, the so called ""Goat Bills"", he decides to track down the counterfeiter responsible - and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",https://www.youtube.com/watch?v=jHzyjBfEyj8
